Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 100.24454746908513, 'y': 100.21925583149762, 'level': np.str_('c')}, Fitness: 20082.868536700833
Agent: {'x': 96.3662504943863, 'y': 98.0878195668141, 'level': np.str_('c')}, Fitness: 18897.67458171869
Agent: {'x': 95.79690743356265, 'y': 91.40386207732377, 'level': np.str_('c')}, Fitness: 17521.713476484998
Agent: {'x': 104.00599240064031, 'y': 91.48683112280439, 'level': np.str_('b')}, Fitness: 19187.08672413458
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}, Fitness: 14126.3475793211
Agent: {'x': 90.10387820721604, 'y': 96.17599970669089, 'level': np.str_('b')}, Fitness: 17368.531787562228
Agent: {'x': 103.82588403459422, 'y': 91.7905377417649, 'level': np.str_('b')}, Fitness: 19205.317014487373
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 97.13885164712462, 'y': 79.87327205425575, 'level': np.str_('b')}, Fitness: 15815.696087975239
Agent: {'x': 90.10387820721604, 'y': 90.34948914228069, 'level': np.str_('b')}, Fitness: 16281.739056251918
Agent: {'x': 92.93128526519183, 'y': 95.52717592457186, 'level': np.str_('b')}, Fitness: 17761.665121164562
Agent: {'x': 92.78852420243389, 'y': 92.23704165505778, 'level': np.str_('b')}, Fitness: 17117.382076942522
Agent: {'x': 91.36166280786725, 'y': 105.37706290080133, 'level': np.str_('b')}, Fitness: 19451.278816617873
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 96.19444198114797, 'y': 92.04051788351498, 'level': np.str_('b')}, Fitness: 17724.827600330085
Agent: {'x': 77.65526806634162, 'y': 87.87892446718608, 'level': np.str_('b')}, Fitness: 13753.046023964773
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 100.24454746908513, 'y': 100.21925583149762, 'level': np.str_('c')}, Fitness: 20082.868536700833
Agent: {'x': 81.51291015640356, 'y': 99.06389740656502, 'level': np.str_('b')}, Fitness: 16458.01029154436
Agent: {'x': 92.92536380833467, 'y': 76.63386832506079, 'level': np.str_('b')}, Fitness: 14507.873013374108
Agent: {'x': 81.56435276017027, 'y': 115.58359754447568, 'level': np.str_('c')}, Fitness: 20002.31166250882
Agent: {'x': 77.65526806634162, 'y': 99.6283473405713, 'level': np.str_('b')}, Fitness: 15956.148252268897
Agent: {'x': 100.61108798787981, 'y': 83.3397600578608, 'level': np.str_('b')}, Fitness: 17068.106632606705
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('a')}, Fitness: 14136.3475793211
Agent: {'x': 88.78452297740354, 'y': 97.68502590373294, 'level': np.str_('c')}, Fitness: 17415.055806138073
Agent: {'x': 102.55080694782781, 'y': 87.97699641166409, 'level': np.str_('b')}, Fitness: 18256.619903268605
Agent: {'x': 91.77464032348509, 'y': 105.35324405114025, 'level': np.str_('c')}, Fitness: 19511.890638604174
Agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}, Fitness: 14126.3475793211
